A: ムーリエルは２０歳になりました。	Muiriel is 20 now.#ID=1282_4707
A: 管理区域 ― 許可なくして立ち入りを禁ず。	Controlled Access Zone: No entry without permission.#ID=328742_74977
A: 風がまだ強く吹きます。	The wind still blows hard.#ID=328723_74996
A: 帽子をかぶってなかった仲間は、鼻とほっぺが赤くなっているようでした。	My companions, who weren't wearing hats, apparently had their noses and cheeks turn red.#ID=328719_75000
A: 文字を大きくし、文字間や行間に余裕をもたせ、高齢者の方や、視力に障害のある方が読み易いように注意しました。	I took care to make the letters large and be generous with character and line spacing in order for it to be easy to read for the elderly and those who have problems with their sight.#ID=328693_75026
A: 「あれ、タンジェントってサインでコサインを割るんだっけ？」「逆、逆」	"Eh? Is the tangent cosine divided by sine?" "Other way round!"#ID=328672_75047
A: じゃ、１年前のはもう効き目がないんだ！	Then, those from a year ago won't be working any more!#ID=328669_75050
A: 公式問題集には"受け身の現在進行形"と説明されています。	In the official question collection it is explained as being "passive voice of the present continuous tense".#ID=328641_75078
A: 不定詞の形容詞的用法には２種類あり、（１）限定用法、（２）叙述用法。（２）はもちろん主格補語です。	There are two ways of using the infinitive as an adjective, 1. attributive, 2. predicative. Naturally 2. is a subject complement.#ID=328622_75097
A: 「five minutes」って名詞句でいいんですよね？	It's OK to think of 'five minutes' as a noun phrase, right?#ID=328597_75122
A: 彼女は抗生物質貰って寝てりゃ治るだろ。	If she gets some antibiotics and sleeps, she'll get better.#ID=328596_75123
A: それでは、みなさまも呼んでくるように言いつかってありますのでご同道くださいませ。	In which case, I was also requested to invite all of you so if you would please accompany me...#ID=328590_75129
A: ２００６年２月２３日、２７３０グラムで誕生した我が家の宝物。	Born on 2006 Feb 23, at 2730g, our family's treasure.#ID=328586_75133
A: ここの蔵書の中には、お金で買えない貴重な本もあるんだって。	Apparently in this library are precious books that money can't buy.#ID=328553_75166
A: このようなものを修飾語と呼ばずに、付加語(A)と呼んでいる文法書もあります。	There are grammar books that call these sorts of things, not modifiers, but adjuncts (A).#ID=328550_75169
A: 現在のパスワードは"eosdigital"です。	The present password is "eosdigital".#ID=328542_75177
A: ※基本的な禁止事項（誹謗・中傷の禁止等）は「はじめにお読み下さい」に記載してあります。必ずお読みください。	* The basic prohibitions (No slander, libel, etc.) are noted in the "Read me first." Please be sure to read it.#ID=328528_75191
A: これらはどちらも“意志未来”と呼ばれるもので、主語の意図が含まれています。	These are both called "future volitional" and include the intent of the subject.#ID=328515_75204
A: 時の副詞節(ここではwhen)は、未来のことがらを現在時制で表します。	Adverbial time clauses (here 'when') write about the future in the present tense.#ID=328514_75205
A: このような場合は“現在時制”を使います。	We use "present tense" for this kind of case.#ID=328509_75210
A: 実は、「have 目的語 done」は使役じゃない場合が多い。	Actually, there are many cases where 'have [object] done' is not causative.#ID=328434_75285
A: 当然ですが先生は英仏語とも理解できますけれど。	Obviously the teacher can understand both English and French.#ID=328433_75286
A: 「―osity」は語尾が「―ous」の形容詞から作られる抽象名詞の語尾。	'-osity' is an abstract noun word ending created from the ending of an '-ous' adjective.#ID=328429_75290
A: 「―osity」という接尾辞がどういうものかを理解すれば良い。	You just have to understand what sort of thing the suffix '-osity' is.#ID=328428_75291
A: 入学試験に落ちないように、彼女は一生懸命に勉強した。	She studied hard in order not to fail the entrance exam.#ID=328422_75297
A: 魔力(Ｍａｇｉｃ)：魔法を使うために必要な能力値。 魔法を使うと減少するが、時間で回復する。	MP (magic): Ability score needed to use magic. As you use magic it drops, but with time it recovers.#ID=328417_75302
A: 先週の雪はほんの局地的なものであった。	Last week's snow was limited to a very small area.#ID=328377_75342
A: 朝起きて、挨拶を交わす相手がいる――久しぶりの感覚だ。	To get up in the morning, and there be someone to say good morning to - I haven't had this feeling for a long time.#ID=328305_75414
A: やっぱり駅まで行くのは疲れるから、泊まっているホテルまで来いってことだ。まったく身勝手な女だよ。	It was to say that going to the station was too much of a bother after all so I should come to the hotel she's staying at. Good grief, what a selfish woman!#ID=328209_75509
A: これはなんだ。キャッチセールスじゃないのなら、新手の逆ナンだろうか。	Then what is this I wonder? If it isn't dodgy door-to-door sales then could it be a new kind of pickup technique for the ladies?#ID=328208_75510
A: あたりまえだが、人と人との接点は「ことば」である。その言葉によって、考えを共有し、議論している。	It's obvious but the connection between people is "words". It is by those words that thoughts are shared and arguments carried out.#ID=328204_75514
A: とある映画を文庫化した―いや、映画の為に書かれたシナリオを小説として加筆修正し、日本語にローカライズしたものだ。	A certain movie was novelized - rather it was a scenario written for a movie that was expanded as a novel and localized to Japanese.#ID=328193_75525
A: 「ところで神社を知っていますか？」「軽く触れる程度には。信仰対象となった存在、いわゆるところの神格を祭る礼拝施設ね」	"By the way, do you know what a Shinto shrine is?" "I've a little bit of knowledge on the subject. It's a religious facility where that which is the object of worship, that called the genius loci, is enshrined."#ID=328180_75538
A: これまでアメリカは世界の警察と称して武力に頼った鎮圧を続けてきました。	Up till now America has called itself the world's police and continued suppression relying on military force.#ID=328176_75542
A: 授業の終わり近くになると、教師が一言も「静かにしなさい」「座りなさい！」と言わないにもかかわらず、自然と子どもたちは自分の席に戻り静かになる。	As the lesson comes to an end, even if the teacher doesn't say a word of "be quiet", "sit down!," the children naturally return to their seats and quieten down.#ID=328174_75544
A: 悪質な迷惑電話、ワンギリにご注意！！	Beware of 'One Ring' malicious nuisance calls!!#ID=328158_75560
A: いくら電話をかけても通じません。	However often I phone I can't get through.#ID=328155_75563
A: うるさいなっ！少しの頭痛くらい我慢しろ。余は魔力がすっからかんだ。それもこれも姫のせいだぞ。	Shurrup! Don't make such a fuss over a little headache. I'm flat out of magical power - this is all your fault!#ID=328150_75568
A: 応募者にふさわしい職務遂行能力があるか？	Does the applicant have suitable abilities to carry out the job?#ID=328142_75576
A: あんなカッコいい男、そうはいない。	Guys that handsome are few and far between.#ID=328140_75578
A: 最新のバイオ技術によって、芋の臭みを最小限に抑え、非常に飲みやすい「芋焼酎」です。	It's very easy to drink potato shochu now that the potato-like smell has been reduced to a low level through use of the latest biotechnology.#ID=328125_75593
A: しもネタは禁止だよ〜。	No dirty jokes!#ID=328118_75600
A: ねえ蓮、お姉さんが手をつないであげようか？キミは毎年すぐにはぐれちゃうもんね。	By the way, Ren. Should I take your hand? Every year you wander off.#ID=328104_75614
A: セフレが足りないっていうの？	You mean you're short on fuck-buddies?#ID=328101_75617
A: だってお隣さんだし。ちょくちょくお邪魔するから。	Well, we're neighbours. I'll be popping over all the time.#ID=328093_75625
A: そうだ、どうせなら散歩がてらに、林道に行ってプチ森林浴でも・・・。	Right, while we're taking a walk anyway, we could like go along the woodland path and enjoy a little stroll through the forest…#ID=328079_75639
A: このパンって賞味期限大丈夫か？	Is this bread's best-by OK?#ID=328078_75640
A: 富士山に登った後で一首浮かんだ。	After climbing Mt Fuji I got the inspiration for a poem.#ID=627955_75641
A: Ｋａｎｊｉ ｌｉｓｔ 機能に新聞記事頻度を追加しました。	I added Newspaper article frequency data to the 'Kanji list' function.#ID=328075_75643
A: 例１，２のように訂正せよ。	Correct it, as in example 1.2.#ID=328060_75658
A: お願いですから犬猫扱いするのやめて貰えますか。	I'm begging you, could you stop treating me like a pet?#ID=328046_75672
A: 来週の月曜と火曜は連休だ。	Next Monday and Tuesday are consecutive holidays.#ID=328045_75673
A: 用意周到に見えてどこかで抜けてるしな。	It looks well prepared but you see there'll be a slip somewhere.#ID=328043_75675
A: 有難くも、10000hit越えのお祝いイラストを頂いてしまいました！本当にかたじけないです。	I'm very lucky to have been gifted with this 10,000 hit picture! Thank you so very much.#ID=328037_75681
A: 優美子には谷間を強調するブラジャーがある。	Yumiko has a push-up bra.#ID=328035_75683
A: 目的語は、日本語では主に「に」や「を」で示される語である。	The object is that which in Japanese would generally be indicated with "ni" or "o".#ID=328028_75690
A: 市民の皆様の御意見をちょうだいする予定です。	We plan to elicit opinions from the public.#ID=328021_75697
A: 僕高卒だからそのぶん高校の問題とか出来る。	I'm a high school graduate so I am that much able to answer high school problems and such.#ID=328011_75707
A: 防音設備が施されプライベートを重視したゲストルームです。	It's a guest room equipped with soundproofing with an emphasis on privacy.#ID=328009_75709
A: 母に言うと心配するから、このことは言うまい。	If I tell my mother, she'll worry, so I don't think I'll tell her.#ID=328007_75711
A: 彼は壁一面にポスターをべたべた張った。	He plastered the wall with posters.#ID=327998_75720
A: 文を書くときには、ふつう大文字で始め、ピリオド（.）、または感嘆符（!）、疑問符（?）、で終わる。	When writing a sentence, generally you start with a capital letter and finish with a period (.), an exclamation mark (!), or a question mark (?).#ID=327994_75724
A: 君の不首尾は承知している。	I'm aware that you failed.#ID=327981_75737
A: 彼女は兄に勝るとも劣らぬくらい英語が上手だ。	She is good at speaking English, no less so than her brother.#ID=327966_75750
A: 彼女との出会いが彼の生活に精神的に潤いをもたらしている。	His encounter with her is enriching his inner life.#ID=327957_75761
A: 彼らはどんな体勢で捕っても地肩が強いからいい返球ができる。	Their shoulders are strong no matter what stance they are in so they can throw back to the pitcher well.#ID=327954_75764
A: 彼は「負けられない戦いなんだ！」と叫んだ。	He shouted at the top of his voice, "This is a battle we cannot lose."#ID=327930_75788
A: 彼の顔は怖そうに見える反面、声は優しくおだやかだった。	In contrast to his frightening looks, his voice was kind and calm.#ID=327923_75795
A: 彼の４人抜きの活躍でうちの高校のチームが優勝しました。	His beating four competitors in a row won our high school team the championship.#ID=327920_75798
A: 彼にとって、妻は彼の命そのものだったと言っても決して大げさではない。	It is no exaggeration to say that, as far as he was concerned, his wife was life itself to him.#ID=327919_75799
A: 半角カタカナをインターネット上の色んな所で使えば、いつか顰蹙をかいまくる事になるよ。	If you go around the Internet, using half-width katakana in various places, eventually you're going to end up pissing off a lot of people.#ID=327915_75803
A: 日本のどこに体育でほふく前進やらせる学校があるんだよ。	Where in all Japan is there a school that has 'advance at the crawl' in P.E.?!#ID=327903_75815
A: 日本語用のワープロソフトには、Ｍｉｃｒｏｓｏｆｔ社の「Ｗｏｒｄ」や、ＪＵＳＴＳＹＳＴＥＭ社の「一太郎」などがあります。	Word processors for use with Japanese include Microsoft Word and JustSystem's Ichitaro.#ID=327899_75819
A: 同様に振る舞う他のイベントでも結構です。	Another event that has the same behaviour would also be fine.#ID=327879_75839
A: 田中さんの特徴的な癖毛が耳の裏で跳ねている。	Mrs Tanaka's characteristic curly hair was sticking up behind her ear.#ID=327867_75851
A: 辻さんがドラマのなかで歌っていたフォークの歌は、何ていうのですか？	What is that song called that Mr. Tsuji was singing in the TV show?#ID=327856_75862
A: 暖房と同様に、冷房時の消費電力量を測定し、旧型と省エネ型（２００１年製）のエアコンを比較しました。	We measured the electricity used during air cooling in the same way as heating, and compared the old model air conditioner to the energy conservation (2001) model.#ID=327835_75883
A: 大型と小型の２台の飛行機が、ハンガー内で停止していました。	Two airplanes, one large and one small, were at rest in the hangar.#ID=327820_75898
A: 前年の総所得金額はいくらでしょうか。	What was the gross income in the previous calendar year?#ID=327798_75920
A: 浅学な人ほど自分が正しいと思っている典型ですね。	He's a classic case that the more ignorant people are the more sure they are that they are correct.#ID=327795_75923
A: 先生も連休をエンジョイしたかったが、どっかの６人組の補習やら準備やらで連休無かったぞ！	I also wanted to enjoy the break, but thanks to preparation and supplementary lessons for a certain six-man team, I got none!#ID=327789_75929
A: 彼女の条件が結婚相手を選ぶ際の優先事項だ。	Her conditions for choosing a marriage partner took priority.#ID=327786_75932
A: 赤いネクタイを買いました。	I bought a red tie.#ID=327777_75941
A: 正規表現で空白はどのように表されるのでしょうか？	How is Null expressed as a regular expression?#ID=327762_75956
A: ショウイチは真っ青になった。	All the colour went from Shoichi's face.#ID=327761_75957
A: 数学。行列式のところが宿題になってるんだけど・・・どうも僕にはついていけなくて・・・。	Maths. Homework's about derivatives, but I really can't seem to cope with it.#ID=327748_75970
A: 薪が足りず、はやくも火勢が衰えはじめた暖炉。	The fireplace, lacking firewood, flames already starting to lose their vigour.#ID=327735_75983
A: 新聞は生き残れるだろうか。	Will newspapers be able to survive?#ID=327727_75991
A: 笑いで誤魔化すと、亜美さんはさも不機嫌そうに眉を寄せた。	Ami frowned in a very un-amused way as I brushed her off with a laugh.#ID=327714_76004
A: 少年は十二才で音楽学校を退学させられた。	The boy was expelled from music school when he was 12.#ID=327710_76008
A: 春機が発動して、ソレをナニしたい盛りなのは理解するけど、・・・まあ、そこにお座りなさい。	I know you're at an age where sexual desire flourishes and you want to do 'you-know-what' with 'that' but... well, sit down there.#ID=327689_76029
A: 自分でもわかってるくせに。	You should know it.#ID=327658_76060
A: 自転車はキーと音を立てて止まった。	The bike screeched to a stop.#ID=327652_76066
A: 自宅を改築する際に、この部屋にだけ防音設備と内鍵を付けたんだ。	When my home had an extension built I only had this room fitted with soundproofing and an internal lock.#ID=327651_76067
A: 時を超えて古代の昆虫たちが琥珀の中で生き生きと踊る。	Transcending time, the insects of ages gone past dance livelily in amber.#ID=327647_76071
A: 産婦人科医が減っているのは出生数の減少で医療ニーズが低減したのを反映している。	The reduction in obstetricians and gynecologists is a reflection of the decrease in births, thus reducing need for medical care.#ID=327606_76112
A: 最新の報告書には、全世界で密輸されているコカインの９０％が海路で運ばれており、そのほとんどがスピードボートによるものだと記されている。	In the latest report, it is written that 90% of all the cocaine smuggled in the world is transported by sea, and most of that by speedboat.#ID=327589_76129
A: 今回はじめてプライベートヴィラに滞在しましたが、これがなかなか良いです。	This time I stayed for the first time in a private villa, and it was really quite something.#ID=327566_76153
A: 黒田小学校では決められた時刻に集まって、集団登校します。	At Kuroda Primary School we assemble at a prearranged time and go to school as a group.#ID=327558_76160
A: 好機逸すべからず。	Strike while the iron is hot.#ID=240718_76179
A: 教室でどうどうとタバコをすう高校生たちとそれを注意できない教師たちは罰を受けることになります。	High school students who flagrantly smoke in class and the teachers who can't caution them will be punished.#ID=327491_76227
A: 教科書問題や歴史認識、靖国神社への首相の参拝などで、日中関係に波風が立っている。	Such things as the textbook controversy, lack of recognition of historical events, and the prime minister's worshipping at the Yasukuni Shrine have caused discord with China.#ID=327490_76229
A: 机の上に写真立てに入った子どもの写真と結婚式の写真があった。	There were framed pictures of a child and a wedding on top of the desk.#ID=327466_76254
A: 株価上昇を契機に新工場建設の話が持ち上がった。	They took advantage of the stock price increase to raise the idea of building a new factory.#ID=327450_76270
A: 会場に着くと早速担当者に「この絵は将来必ず値が上がる。 」などとしつこく言われ、契約書にサインしてしまった。	When I reached the hall right away the person in charge unrelentingly said things like "This painting is certain to increase in value in the future," and I went and signed the contract.#ID=327438_76282
A: 会社をクビになったけど、貯金がすこしあるので、差し詰め生活には困らない。	I got the sack but I've a little saved up, so for the time being I won't be troubled by living expenses.#ID=327437_76283
A: 私はぬかるんだ斜面をずるずると滑り下りた。	I slithered down the muddy slope.#ID=327432_76288
A: 何度も「やめましょうよ」と言ったのに、何杯もワインを飲み干し――ご覧の通り、酔っ払ってハイになってしまったのである。	I kept saying "Let's stop" but she drained cup after cup of wine -- and now, as you can see, she's completely drunk.#ID=327421_76299
A: 奥さんのがみがみ小言にフレッドさんは大弱りの体であった。	Fred was very troubled by his wife's nagging.#ID=327392_76328
A: 右上にある「バッテン」のボタンが、ウィンドウを消すボタンだよ。	The "X" button in the top right shuts the window.#ID=327380_76340
A: 右手には、いかにも、「魔法少女アイテムです」と言わんばかりの怪しげなロッドが握られていた。	In her right hand was gripped a suspicious looking rod that practically radiated "I'm a magical girl item".#ID=327379_76341
A: 一郎はどことなく傷ついたように言ったが、それが嘘っぱちであることはこいつとの長年の付き合いが教えてくれた。	Ichiro sounded somehow upset but my long years of hanging out with him told me that it was out and out fake.#ID=327376_76344
A: わたしが前をよく見てなかったから、出会い頭にぶつかっちゃって。小川くんは悪くないわ。	Because I wasn't looking where I was going, I bumped into him when we passed. It wasn't his fault.#ID=327358_76362
A: みんな、俺も全力でフォローする。このイベントかならず成功させるぞ。	Guys, I'll do my utmost to back you up. We'll make this event a success no matter what!#ID=327322_76398
A: またお越しください。	Please come again.#ID=32558_76406
A: まあ、過ちを改めるに遅すぎるということはない。	Well, there's no such thing as being too late to correct one's faults.#ID=327299_76421
A: ポールの髪には潤いがない。	Paul has dry hair.#ID=327281_76439
A: ペールエールはアルコール含有量の少ないビールだ。	Pale ale is a low-alcohol beer.#ID=327270_76450
A: ふふ・・・いわくがあるのさ、あそこには。	He-heh... there's a tale behind that, for that place.#ID=327260_76460
A: ひき逃げの犯人は翌日父親に伴われて自首してきました。	The hit-and-run driver, accompanied by his father, came and turned himself in the next day.#ID=327248_76472
A: どーすんの、このお店！完ッ全に閑古鳥が鳴いちゃってるじゃない。	What happened to this place?! It's completely dead!#ID=327199_76521
A: どうやら、俺は微睡んでいたらしい・・・。	It looks like I must have dozed off.#ID=327197_76523
A: 誰も死なかったのは不幸中の幸いでした。	It is a consolation that no one was killed.#ID=327150_76570
A: だが定期的な服用が必須であり、一日でも服用しなければたちまち死に至る。	However he has to take it at fixed intervals, just one day without taking it is swiftly fatal.#ID=327137_76583
A: それは五千人の兵員を擁する大部隊なのです。	That is a large force with 5,000 soldiers.#ID=327118_76603
A: それができない人はトップには不適任者なのである。	People who can't do that aren't suited for the top.#ID=327109_76611
A: その女の子は木登りが大好きだった。	That girl loved climbing trees.#ID=327101_76619
A: その会社では高い専門性が要求される。	A high degree of specialization is required in that company.#ID=327093_76627
A: しかし僕だけではなく、もうひとり―いや、もう一匹の珍客がいたらしい。	However, it was not just me - there was one more person, no, one more creature visiting.#ID=327037_76683
A: 精液は瓶詰めにする価値はあるよ。	Semen is worth bottling.#ID=327017_76703
A: これも後で言うつもりだったんだけどカタハネのキャラに端役というのは存在しないのよね。	I planned to say this later on but in Katahane there is no such thing as a 'bit part'.#ID=327007_76713
A: この鍋物はえぐいよ。	This stew tastes acrid.#ID=326993_76727
A: この商品管理伝票をこのタイムスタンプに差し込むと日付と時刻が打刻されます。	Place this merchandise slip into the time stamp, and the date and time will be impressed.#ID=326988_76732
A: この頃、親たちは子供たちを以前よりもっと大人として扱い、子供には自分で人生上の選択をする自由が今まで以上に与えられている。	Nowadays parents treat their children more as equals than they used to and the child is given more freedom to make his or her own decisions in life.#ID=326979_76741
A: コートを探してます。背が低いので、丈は短めで、なるべくすっきりしたデザインのものを。	I'm looking for a coat. I'm short so the length should be on the short side, and as refined a design as possible.#ID=326949_76771
A: こうして武田の悲鳴で通りすがりの船に気付いてもらえ、事なきをえました。	In this way a passing boat noticed them, thanks to Takeda's scream, and they survived without incident.#ID=326948_76772
A: こいつがそんな玉じゃないことなんてとうの昔に解っていたからさ。	That's because, you see, I've known he isn't that sort of person from a long time back.#ID=326947_76773
A: 彼はお人よしのカモから大金を巻き上げました。	He made heaps of money by ripping off naive suckers.#ID=326929_76791
A: かくかくしかじかで、と事情を説明したのだが、あんまり興味なさそうな相槌しか返ってこなかった。	I explained the situation, as this, that and such and such, but they just nodded along without showing much interest.#ID=326922_76798
A: エステサロンで優雅な至福のひとときを過ごしてみませんか？	How about spending an elegant and blissful time at a beauty salon?#ID=326882_76838
A: エイズウイルスの拡散は恐るべき速さで進んでいる。	The speed of the spread of AIDS is horrifyingly fast.#ID=326879_76841
A: あんな妹達でよければ、ノシをつけてさしあげますよ。	If those little brats of sisters are good enough I'll make a gift of them to you!#ID=326846_76873
A: あの大名は十万石を領している。	That daimyo holds a fief yielding 100,000 koku of rice.#ID=326823_76897
A: アップルの新型ノートは予定通りに発表されるだろうか。	Will Apple's new model notebook be announced on schedule?#ID=326813_76907
A: thatには、主格、目的格の２つしかなく、格による形の変化はない。	'That' has only the two cases, nominative and objective, and it does not inflect depending on the case.#ID=326785_76935
A: Ａ―７を二つ折りにして貼り合わせる。	Fold A-7 in half and stick it together.#ID=326772_76948
A: ５ページ脚注を参照してください。	See the footnote on page 5.#ID=326768_76952
A: 昼間でも連絡がつく電話番号をご記入下さい。	Please enter a telephone number where you can be contacted during the day, too.#ID=326764_76956
A: 『心配しないで。私、元気だから　(^-^)v』「あ・・・顔文字？」	'Don't worry. I'm doing fine. :-) ' "Eh ... smiley-face?"#ID=326753_76967
A: 「怒ってない。ほら見て、このにこやかな笑顔」「それは作り笑いっていうんですよ」	"I'm not angry. Look, see this smiling face?" "That's what they call a forced smile!"#ID=326744_76976
A: ナイアガラの滝は世界有数の観光地として名高い。	The Niagara Falls are famous as a world leading tourist resort.#ID=326738_76981
A: 「春樹、あなたも前の方の席を希望しなさい」「どうしたんですの？露骨にイヤな顔をして」	"Haruki, you ask for a seat at the front as well." "What's wrong, why the look of blatant dislike?"#ID=326735_76984
A: 「警察だ。ちょっと署まで来てもらおうか」「な、なんで？」「こんな街中でドンパチやって罪にならないわけないだろうが！！」	"This is the police. Would you mind coming down to the station?" "W-why?" "You can't think it's not a crime to go shooting guns off in the middle of town?!"#ID=326721_76998
A: 「じゃんけんね」「ぐー」「ちょ・・パー」「後出しかよ！」	"Rock-paper-scissors, OK?" "Rock" "Scis..Paper" "Foul!"#ID=326689_77030
A: 成歩堂先生の事務所が「エネルギー分野における世界有数の法律事務所」である。	Mr. Naruhodo's law firm is "The World's Leading Energy Law Firm".#ID=326673_77046
A: 「うちの愛妻がケチでさー」「のろけてる？愚痴ってる？」	"My wonderful wife is so stingy that ..." "You boasting? Or complaining?"#ID=326670_77049
A: 近いうちに嵐になりそうだ。	It seems that there will be a storm soon.#ID=326653_77066
A: やがて万物は死に絶えます。	All things die in time.#ID=326651_77068
A: 贅沢な趣味のため、彼女は収入の範囲内でやっていくことができませんでした。	With her extravagant tastes, she was incapable of making ends meet.#ID=326645_77074
A: 放射線を大量に浴びたら、すぐに嘔吐と下痢が始まります。	After being exposed to a large amount of radiation, vomiting and diarrhea will start quickly.#ID=326621_77098
A: 嗅覚は五感の一つである。	Smell is one of the five senses.#ID=326620_77099
A: 犬が腕時計と扇子を食った。	The dog ate a watch and a Japanese fan.#ID=326612_77107
A: 腕を放して。	Let go of my arm!#ID=326609_77111
A: 湾岸戦争についてどう思いますか。	How do you feel about the Gulf War?#ID=326597_77122
A: 話すのを聞いて初めて彼だとわかった。	It wasn't until I heard him speak that I recognized him.#ID=326576_77143
A: 話すことは人間の能力の一つである。	Talking is a human ability.#ID=326553_77166
A: 小さな声でも話すな。まして、大きな声で話すなど、もってのほかだ。	Don't whisper, let alone speak.#ID=326552_77167
A: 話すことと書くことは別物だ。	To speak is one thing and to write is another.#ID=326551_77168
A: 話すことが多すぎて、どこから話し始めたらいいか分からない。	There are so many things to tell you that I don't know where to start.#ID=326550_77169
A: 話し声が壁に反響してうるさいな、この部屋。	This room is noisy. The sound bounces right off the walls.#ID=326545_77174
A: その話し手は話を聞いてもらえなかった。	The speaker couldn't make himself heard.#ID=326541_77178
A: 話の要点を書き留めなさい。	Take down the main points of the speech.#ID=326531_77188
A: 彼らは仲良く一緒に暮らしている。	They live together in unity.#ID=326504_77215
A: 六時きっかりにここへ来なさい。	Come here at exactly six o'clock.#ID=1293157_77237
A: 老婦人は、召し使いにトランクを取りに行かせた。	The old woman sent a servant for the trunk.#ID=326470_77249
A: 老婦人は子供たちに愛情のこもった手を差し伸べた。	The old woman extended a loving hand to the children.#ID=326469_77250
A: 老婦人は３LDKの集合住宅に独りで住んでいた。	The old lady lived in a three-room apartment by herself.#ID=326467_77252
A: お年よりへのその対応はひどい。	It's a shame the way old people are treated.#ID=326459_77259
A: おじいさんは目を閉じてベンチに座っていました。	The old man sat on the bench with his eyes closed.#ID=326453_77266
A: 老人が一人、道路で死んでいた。	An old man lay dead on the road.#ID=326452_77267
A: 老人はお金を地中に隠そうとした。	The old man tried to hide his money under the ground.#ID=326430_77289
A: おじいさんは帽子を探して周囲をきょろきょろ見回した。	The old man looked about for his hat.#ID=326429_77290
A: おじいさんは、咳で何度も話を中断した。	The old man's narrative was punctuated by coughs.#ID=326428_77291
A: 高齢者のケアについて考えなければならない。	We must think about the care of old people.#ID=326426_77293
A: お年寄りをからかってはいけません。	Don't make fun of old people.#ID=282160_77294
A: お年寄りには生きがいが必要だ。	Old people need something to live for.#ID=326415_77304
A: お年寄りにはできるだけ親切にしなくてはいけません。	We must be as kind to old people as possible.#ID=326413_77306
A: 老人が生活の仕方を変えるのは困難である。	It's hard for an old man to change his way of living.#ID=326412_77307
