Word	Reading	JLPT	Meaning
合わせる	あわせる	JLPT N3	[Ichidan verb, Transitive verb] 1. to match (rhythm, speed, etc.) 2. to join together; to unite; to combine; to add up 3. to face; to be opposite (someone) {See also 顔を合わせる} 4. to compare; to check with 5. to cause to meet (e.g. an unpleasant fate) {See also 遭う} 6. to place together; to connect; to overlap 7. to mix; to combine 8. to put blade to blade; to fight | Other forms: 併せる 【あわせる】、合せる 【あわせる】
哀れ	あわれ	JLPT N3	[Noun] 1. pity; sorrow; grief; misery; compassion; pathos [Na-adjective] 2. pitiable; pitiful; pathetic; miserable 3. alack; alas | Other forms: 哀れ 【あはれ】、憐れ 【あわれ】、憐れ 【あはれ】、憫れ 【あわれ】、憫れ 【あはれ】 [Notes] あはれ: Out-dated or obsolete kana usage. あはれ: Out-dated or obsolete kana usage. あはれ: Out-dated or obsolete kana usage.
案	あん	JLPT N3	[Noun, Noun - used as a suffix] 1. idea; plan; thought 2. draft plan; motion; rough copy {See also 原案} 3. expectation
暗記	あんき	JLPT N3	[Noun, Suru verb] 1. memorization; memorisation; learning by heart | Other forms: 諳記 【あんき】 [Notes] 諳記: Out-dated kanji.
安定	あんてい	JLPT N3	[Noun, Suru verb, Na-adjective, No-adjective] 1. stability; steadiness; equilibrium [Wikipedia definition] 2. Stability
案内	あんない	JLPT N3	[Noun] 1. information; guidance; leading [Suru verb] 2. to guide; to show (around); to conduct [Place] 3. Annai
あんなに	あんなに	JLPT N3	[Expression] 1. to that extent; to that degree
否	いいえ	JLPT N5	1. no; nay {Usually written using kana alone} 2. well; er; why {Usually written using kana alone} 3. you're welcome; not at all; don't mention it {Usually written using kana alone} | Other forms: 否 【いいや】、否 【いえ】、否 【いな】、否 【いや】
委員	いいん	JLPT N3	[Noun] 1. committee member
言う	いう	JLPT N5	[Godan verb with u ending] 1. to say; to utter; to declare 2. to name; to call 3. to go (e.g. "the alarm went ping"); to make a noise {Only applies to 言う} | Other forms: 言う 【ゆう】、云う 【いう】、云う 【ゆう】、謂う 【いう】、謂う 【ゆう】
意外	いがい	JLPT N3	[Na-adjective, Adverb taking the 'to' particle, Noun] 1. unexpected; surprising
息	いき	JLPT N3	[Noun] 1. breath; breathing 2. tone; mood {See also 息が合う} | Other forms: 息 【おき】 [Notes] おき: Out-dated or obsolete kana usage.
勢い	いきおい	JLPT N3	[Adverb, Noun] 1. force; vigor; vigour; energy; spirit; life 2. influence; authority; power; might 3. impetus; momentum; course (of events) [Adverbial noun] 4. naturally; necessarily | Other forms: 勢 【いきおい】 [Notes] 勢: Irregular okurigana usage.
生き物	いきもの	JLPT N3	[Noun] 1. living thing; animal
幾つ	いくつ	JLPT N5	[Adverb] 1. how many? {Usually written using kana alone} 2. how old?
幾ら	いくら	JLPT N5	[Adverb, Noun] 1. how much?; how many? {Usually written using kana alone} [Adverb] 2. even; even if
行けない	いけない	JLPT N3	[Expression] 1. wrong; not good; of no use {Usually written using kana alone} 2. hopeless; past hope {Usually written using kana alone} 3. must not do {Usually written using kana alone}
医師	いし	JLPT N3	[Noun, No-adjective] 1. doctor; physician
意志	いし	JLPT N3	[Noun] 1. will; volition; intention; intent; determination
意思	いし	JLPT N3	[Noun] 1. intention; purpose
維持	いじ	JLPT N3	[Noun, Suru verb] 1. maintenance; preservation; improvement
意識	いしき	JLPT N3	[Noun, Suru verb] 1. consciousness 2. awareness; sense 3. mano-vijnana (mental consciousness, cognizer of sensory information) {Buddhist term}
意識	いしき	JLPT N3	[Noun, Suru verb] 1. consciousness 2. awareness; sense 3. mano-vijnana (mental consciousness, cognizer of sensory information) {Buddhist term}
異常	いじょう	JLPT N3	[Na-adjective, Noun] 1. strangeness; abnormality; disorder {Antonym: 正常}
椅子	いす	JLPT N5	[Noun] 1. chair; stool 2. post; office; position | Other forms: 倚子 【いす】、イス [Notes] 倚子: Out-dated kanji.
泉	いずみ	JLPT N3	[Noun] 1. spring; fountain
何れ	いずれ	JLPT N3	[Adverb, Pronoun, No-adjective] 1. where; which; who {Usually written using kana alone} 2. anyway; anyhow; at any rate {Usually written using kana alone} [Adverb, No-adjective] 3. sooner or later; eventually; one of these days; at some future date or time {Usually written using kana alone} [Pronoun, No-adjective] 4. both; either; any; all; whichever {Usually written using kana alone} | Other forms: 何れ 【いづれ】、孰れ 【いずれ】、孰れ 【いづれ】 [Notes] いづれ: Irregular kana usage. いづれ: Irregular kana usage.
以前	いぜん	JLPT N3	[Adverbial noun, Temporal noun] 1. ago; since; before; previous | Other forms: 已前 【いぜん】 [Notes] 已前: Out-dated kanji.
板	いた	JLPT N3	[Noun] 1. board; plank 2. sheet (of metal); plate (of glass); pane; slab 3. cutting board; chopping board {See also 俎板} 4. chef (esp. of high-end Japanese cuisine); cook {Abbreviation, See also 板前, See also 板場 いたば, usu. as 板さん} 5. stage (i.e. at a theatre) [Wikipedia definition] 6. Board
偉大	いだい	JLPT N3	[Na-adjective, Noun] 1. greatness
抱く	いだく	JLPT N3	[Godan verb with ku ending, Transitive verb] 1. to embrace; to hold in the arms (e.g. a baby); to hug 2. to harbour (e.g. grudge); to harbor; to bear; to have (e.g. ambition); to entertain (e.g. hope, suspicion) {Only applies to いだく} [Godan verb with ku ending] 3. to have sex with; to make love to; to sleep with {Only applies to だく} 4. to sit on eggs {Only applies to だく} | Other forms: 抱く 【うだく】、懐く 【いだく】、懐く 【うだく】、抱く 【だく】 [Notes] うだく: Out-dated or obsolete kana usage. うだく: Out-dated or obsolete kana usage.
悪戯	いたずら	JLPT N3	[Noun, Suru verb, Na-adjective, No-adjective] 1. mischief; prank; trick; practical joke {Usually written using kana alone} 2. pastime; hobby {Usually written using kana alone} 3. playing with (a lighter, etc.); fooling around with; messing around with; amusing oneself with; tampering with {Usually written using kana alone} 4. lewd behaviour; sexual misconduct; sexual assault; molestation; rape {Usually written using kana alone} | Other forms: 悪戯 【いたづら】、惡戲 【いたずら】、惡戲 【いたづら】、イタズラ [Notes] いたづら: Irregular kana usage. 惡戲: Out-dated kanji. いたづら: Irregular kana usage. 惡戲: Out-dated kanji.
頂きます	いただきます	JLPT N3	[Expression] 1. expression of gratitude before meals {Usually written using kana alone} | Other forms: 戴きます 【いただきます】
頂く	いただく	JLPT N3	[Godan verb with ku ending, Transitive verb] 1. to receive; to get; to accept; to take; to buy {Humble (kenjougo), Usually written using kana alone, See also 貰う} 2. to eat; to drink {Humble (kenjougo), Polite (teineigo), Usually written using kana alone} 3. to be crowned with; to wear (on one's head); to have (on top) {Usually written using kana alone, orig. meaning} 4. to have (as one's leader); to live under (a ruler); to install (a president) {Usually written using kana alone} [Auxiliary verb, Godan verb with ku ending] 5. to get somebody to do something {Humble (kenjougo), Usually written using kana alone, See also 貰う もらう, follows a verb in "-te" form} | Other forms: 戴く 【いただく】
痛み	いたみ	JLPT N3	[Noun] 1. pain; ache; soreness; grief; distress {esp. 痛み} 2. damage; injury; wear; bruise; break {esp. 傷み} | Other forms: 傷み 【いたみ】
至る	いたる	JLPT N3	[Godan verb with ru ending, intransitive verb] 1. to arrive at (e.g. a decision); to reach (a stage); to attain {文語} 2. to lead to (a place); to get to 3. to come; to arrive; to result in {Archaism} | Other forms: 到る 【いたる】
位置	いち	JLPT N3	[Noun, Suru verb] 1. place; situation; position; location | Other forms: 位地 【いち】
市	いち	JLPT N3	[Noun] 1. market; fair
一時	いちじ	JLPT N3	[Temporal noun] 1. one o'clock [Adverbial noun, Temporal noun] 2. once; at one time; formerly; before [Adverbial noun, Temporal noun, No-adjective] 3. for a time; for a while; for the time being; for the present; for the moment; temporarily {in weather forecasts, indicates that a given condition will hold for less than one-quarter of the forecast period} [Noun] 4. a time; one time; once {See also 一時に}
一度に	いちどに	JLPT N3	[Adverb] 1. all at once
市場	いちば	JLPT N3	[Noun] 1. (town) market 2. (the) marketplace | Other forms: 市庭 【いちば】 [Notes] 市庭: Out-dated kanji.
一番	いちばん	JLPT N5	[Noun, No-adjective] 1. number one; first; first place [Adverb] 2. best; most [Noun] 3. game; round; bout [Adverb] 4. as a test; as an experiment; by way of experiment; by way of trial; tentatively {See also 試しに} [Noun] 5. song (e.g. in noh); piece [Place] 6. Ichiban | Other forms: １番 【いちばん】
一家	いっか	JLPT N3	[Noun] 1. a house; a home; a family; a household; one's family; one's folks; a style | Other forms: 一家 【いっけ】
何時か	いつか	JLPT N3	[Adverb] 1. sometime; someday; one day; some time or other; the other day; in due course; in time {Usually written using kana alone}
一種	いっしゅ	JLPT N3	[Adverb, Noun] 1. species; kind; variety | Other forms: 一種 【ひとくさ】
一瞬	いっしゅん	JLPT N3	[Noun, Adverbial noun, Temporal noun] 1. instant; moment; for an instant
一生	いっしょう	JLPT N3	[Adverbial noun, Temporal noun, No-adjective] 1. whole life; a lifetime; all through life; one existence; a generation; an age; the whole world; the era [No-adjective] 2. (the only, the greatest, etc.) of one's life
一生	いっしょう	JLPT N3	[Adverbial noun, Temporal noun, No-adjective] 1. whole life; a lifetime; all through life; one existence; a generation; an age; the whole world; the era [No-adjective] 2. (the only, the greatest, etc.) of one's life
一層	いっそう	JLPT N3	[Adverb, No-adjective] 1. much more; still more; all the more; more than ever [Noun, No-adjective] 2. single layer (or storey, etc.) [Adverb] 3. rather; sooner; preferably {Archaism, See also いっそ}
一体	いったい	JLPT N3	[Adverb] 1. ...the heck (e.g. "what the heck?"); ...in the world (e.g. "why in the world?"); ...on earth (e.g. "who on earth?") {before an interrogative, forms an emphatic question} [Noun] 2. one object; one body; unity 3. one form; one style 4. one Buddhist image (or carving, etc.) [Adverbial noun] 5. generally; in general {See also 一体に}
一致	いっち	JLPT N3	[Noun, Suru verb] 1. coincidence; agreement; union; match 2. conformity; consistency 3. cooperation [Place] 4. Icchi
何時でも	いつでも	JLPT N3	[Adverb] 1. (at) any time; always; at all times; whenever {Usually written using kana alone, See also 何時だって} | Other forms: 何時でも 【なんどきでも】
一般	いっぱん	JLPT N3	[Noun, No-adjective, Na-adjective] 1. general; universal 2. ordinary; average; common {Antonym: 特殊}
一方	いっぽう	JLPT N3	[Noun] 1. one (esp. of two); the other; one way; the other way; one direction; the other direction; one side; the other side; one party; the other party [Conjunction] 2. on the one hand; on the other hand {See also 他方} 3. whereas; although; but at the same time; meanwhile; in turn [Adverbial noun, Noun - used as a suffix] 4. just keeps; being inclined to ...; tending to be ...; tending to do ...; continuously ...; just keeps on ...ing; only {after noun, adjective-stem or plain verb} [Place] 5. Ippou
何時までも	いつまでも	JLPT N3	[Adverb] 1. forever; for good; eternally; as long as one likes; indefinitely; no matter what {Usually written using kana alone} | Other forms: 何時迄も 【いつまでも】
何時も	いつも	JLPT N5	[Adverb, Noun] 1. always; usually; every time {Usually written using kana alone} 2. never {Usually written using kana alone, with neg. verb}
移動	いどう	JLPT N3	[Noun, Suru verb] 1. movement; transfer; migration; removal; travel [Noun or verb acting prenominally] 2. mobile; moving; traveling; travelling; roving
従兄弟	いとこ	JLPT N3	[Noun] 1. cousin (male) {Usually written using kana alone, See also 従姉妹} | Other forms: 従兄弟 【じゅうけいてい】
稲	いね	JLPT N3	[Noun] 1. rice plant | Other forms: 稻 【いね】
居眠り	いねむり	JLPT N3	[Noun, Suru verb] 1. nodding off (while sitting); dozing
命	いのち	JLPT N3	[Noun] 1. life; life force {See also 生命, sometimes written as 生命} 2. lifetime; lifespan 3. most important thing; foundation; core 4. paired tattoos of the "life" kanji on the upper arms of a man and woman (indicating unwavering love) {Archaism} 5. fate; destiny; karma {Archaism}
違反	いはん	JLPT N3	[Noun, Suru verb] 1. violation; offense; offence; breach; transgression; infringement; contravention {See also 違犯 いはん}
衣服	いふく	JLPT N3	[Noun] 1. clothes
居間	いま	JLPT N3	[Noun] 1. living room (Western style)
今に	いまに	JLPT N3	[Adverb] 1. before long; even now
今にも	いまにも	JLPT N3	[Adverb] 1. at any time; soon
以来	いらい	JLPT N3	[Adverbial noun, Temporal noun] 1. since; henceforth
依頼	いらい	JLPT N3	[Noun, Suru verb] 1. request; commission; dispatch; despatch 2. dependence; trust
苛々	いらいら	JLPT N3	[Adverb, Noun, Suru verb, Adverb taking the 'to' particle] 1. getting nervous; irritation {Usually written using kana alone} | Other forms: 苛苛 【いらいら】、刺々 【いらいら】、刺刺 【いらいら】、イライラ [Notes] 刺々: Out-dated kanji. 刺刺: Out-dated kanji.
いらっしゃい	いらっしゃい	JLPT N3	[Noun] 1. come; go; stay {Honorific or respectful (sonkeigo), See also いらっしゃる, used as a polite imperative} 2. welcome! {See also いらっしゃいませ} | Other forms: いらしゃい [Notes] いらしゃい: Irregular kana usage.
医療	いりょう	JLPT N3	[Noun, No-adjective] 1. medical care; medical treatment
岩	いわ	JLPT N3	[Noun] 1. rock; boulder 2. crag; cliff 3. anchor | Other forms: 巌 【いわ】、磐 【いわ】、巖 【いわ】 [Notes] 巖: Out-dated kanji.
祝い	いわい	JLPT N3	[Noun] 1. congratulation; congratulations; celebration; festival; congratulatory gift {See also お祝い} | Other forms: 祝い 【ゆわい】、祝 【いわい】、祝 【ゆわい】、斎 【いわい】、斎 【ゆわい】 [Notes] ゆわい: Out-dated or obsolete kana usage. ゆわい: Out-dated or obsolete kana usage. ゆわい: Out-dated or obsolete kana usage.
祝う	いわう	JLPT N3	[Godan verb with u ending, Transitive verb] 1. to congratulate; to celebrate; to observe (a festival) | Other forms: 斎う 【いわう】
言わば	いわば	JLPT N3	[Adverb] 1. so to speak; so to call it; as it were {Usually written using kana alone} | Other forms: 謂わば 【いわば】
所謂	いわゆる	JLPT N3	[Pre-noun adjectival] 1. what is called; as it is called; the so-called; so to speak {Usually written using kana alone}
インク	インク	JLPT N3	[Noun, No-adjective] 1. ink {From Dutch; Flemish “inkt”} | Other forms: インキ
印刷	いんさつ	JLPT N3	[Noun, Suru verb] 1. printing
印象	いんしょう	JLPT N3	[Noun, Suru verb] 1. impression
引退	いんたい	JLPT N3	[Noun, Suru verb] 1. retire
引用	いんよう	JLPT N3	[Noun, Suru verb, No-adjective] 1. quotation; citation; reference
ウイスキー	ウイスキー	JLPT N3	[Noun] 1. whisky; whiskey {also written as ウ井スキー} | Other forms: ウィスキー、ウヰスキー、ウイスキ、ウィスキ、ウスケ、ヰスキー、ウイスケ、ウヰスキ、ウヰスケ、ヰスキ
嗽	うがい		[Noun, Suru verb] 1. gargling; rinsing one's mouth {Usually written using kana alone, See also 含嗽 がんそう} | Other forms: 漱 【うがい】
伺う	うかがう	JLPT N3	[Godan verb with u ending, Transitive verb] 1. to ask; to inquire; to hear; to be told {Humble (kenjougo)} 2. to implore (a god for an oracle); to seek direction (from your superior) [Godan verb with u ending, intransitive verb] 3. to visit {Humble (kenjougo)} 4. to speak to (a large crowd at a theatre, etc.) {from 御機嫌を伺う}
受け取る	うけとる	JLPT N3	[Godan verb with ru ending, Transitive verb] 1. to receive; to get; to accept 2. to take; to interpret; to understand | Other forms: 受けとる 【うけとる】、受取る 【うけとる】、請け取る 【うけとる】、請取る 【うけとる】、うけ取る 【うけとる】
動かす	うごかす	JLPT N3	[Godan verb with su ending, Transitive verb] 1. to move; to shift; to stir; to budge; to change position 2. to inspire; to rouse; to move (e.g. feeling); to influence 3. to change; to alter; to deny 4. to operate; to set in motion; to get going 5. to mobilize (e.g. troops); to mobilise; to deploy 6. to manage (e.g. funds)
兎	うさぎ	JLPT N3	[Noun] 1. rabbit; hare; coney; cony; lagomorph (esp. leporids) {Usually written using kana alone} | Other forms: 兔 【うさぎ】、菟 【うさぎ】、兎 【う】、ウサギ [Notes] 菟: Irregular kanji usage. う: Out-dated or obsolete kana usage.
牛	うし	JLPT N3	[Noun] 1. cattle (Bos taurus); cow; bull; ox; calf 2. beef {See also 牛肉, usu. ぎゅう} 3. Chinese "Ox" constellation (one of the 28 mansions) {Astronomy, etc. term, Only applies to ぎゅう, See also 二十八宿, See also 玄武 げんぶ} | Other forms: 牛 【ぎゅう】、ウシ
失う	うしなう	JLPT N3	[Godan verb with u ending, Transitive verb] 1. to lose; to part with | Other forms: 喪う 【うしなう】 [Notes] 喪う: Irregular kanji usage.
後ろ	うしろ	JLPT N5	[Noun, No-adjective] 1. back; behind; rear | Other forms: 後 【うしろ】 [Notes] 後: Irregular okurigana usage.
嘘	うそ	JLPT N3	[Noun, No-adjective] 1. lie; fib; falsehood; untruth 2. mistake; error [Noun] 3. unwise move; bad decision 4. No way!; Unbelievable!; Really?! {Colloquialism} | Other forms: 噓 【うそ】、ウソ [Notes] 噓: Out-dated kanji.
疑う	うたがう	JLPT N3	[Godan verb with u ending, Transitive verb] 1. to doubt; to distrust; to be suspicious of; to suspect
